"photo-13279251_306521942";"http://cs320118.vk.me/v320118826/3c29/jgLUAcNUuE4.jpg";"Круглые прозрачные очки <br/>Цена: 195 грн.<br/>Размеры: ширина 14.3 см., высота 5,2 см.<br/>Унисекс<br/>ОО10002<br/>Желтый";"Круглые прозрачные очки ";195;;" ширина 14.3 см., высота 5,2 см.";"Желтый";"<h1>Круглые прозрачные очки </h1><br/>Унисекс<br/>ОО10002<br/>";""
"photo-13279251_306521943";"http://cs320118.vk.me/v320118826/3c31/cvPoji5PeXQ.jpg";"Круглые прозрачные очки <br/>Цена: 195 грн.<br/>Размеры: ширина 14.3 см., высота 5,2 см.<br/>Унисекс<br/>ОО10002<br/>Синий";"Круглые прозрачные очки ";195;;" ширина 14.3 см., высота 5,2 см.";"Синий";"<h1>Круглые прозрачные очки </h1><br/>Унисекс<br/>ОО10002<br/>";""
"photo-13279251_306521944";"http://cs320118.vk.me/v320118826/3c39/FdBFvArcXQI.jpg";"Круглые прозрачные очки <br/>Цена: 195 грн.<br/>Размеры: ширина 14.3 см., высота 5,2 см.<br/>Унисекс<br/>ОО10002<br/>Салатовый";"Круглые прозрачные очки ";195;;" ширина 14.3 см., высота 5,2 см.";"Салатовый";"<h1>Круглые прозрачные очки </h1><br/>Унисекс<br/>ОО10002<br/>";""
"photo-13279251_306521945";"http://cs320118.vk.me/v320118826/3c41/DymgVtPyM5s.jpg";"Круглые прозрачные очки <br/>Цена: 195 грн.<br/>Размеры: ширина 14.3 см., высота 5,2 см.<br/>Унисекс<br/>ОО10002<br/>Красный";"Круглые прозрачные очки ";195;;" ширина 14.3 см., высота 5,2 см.";"Красный";"<h1>Круглые прозрачные очки </h1><br/>Унисекс<br/>ОО10002<br/>";""
"photo-13279251_306521946";"http://cs320118.vk.me/v320118826/3c49/DzezCaEfd8I.jpg";"Круглые прозрачные очки <br/>Цена: 195 грн.<br/>Размеры: ширина 14.3 см., высота 5,2 см.<br/>Унисекс<br/>ОО10002<br/>Красный";"Круглые прозрачные очки ";195;;" ширина 14.3 см., высота 5,2 см.";"Красный";"<h1>Круглые прозрачные очки </h1><br/>Унисекс<br/>ОО10002<br/>";""
"photo-13279251_306521947";"http://cs320118.vk.me/v320118826/3c51/-LTbuvE8bKk.jpg";"Круглые прозрачные очки <br/>Цена: 195 грн.<br/>Размеры: ширина 14.3 см., высота 5,2 см.<br/>Унисекс<br/>ОО10002<br/>Красный";"Круглые прозрачные очки ";195;;" ширина 14.3 см., высота 5,2 см.";"Красный";"<h1>Круглые прозрачные очки </h1><br/>Унисекс<br/>ОО10002<br/>";""
"photo-13279251_308232090";"http://cs320118.vk.me/v320118826/6ba1/1l99OrmN_OY.jpg";"Очки<br/>Цена: 385 грн.<br/>Размеры: ширина 14.2 см., высота 4,5 см.<br/>Унисекс<br/>ОО10003<br/>Синий+Белый";"Очки";385;;" ширина 14.2 см., высота 4,5 см.";"Синий+Белый";"<h1>Очки</h1><br/>Унисекс<br/>ОО10003<br/>";""
"photo-13279251_308232091";"http://cs320118.vk.me/v320118826/6ba9/y0GylBzgIVw.jpg";"Очки<br/>Цена: 385 грн.<br/>Размеры: ширина 14.2 см., высота 4,5 см.<br/>Унисекс<br/>ОО10003<br/>Красный+Белый";"Очки";385;;" ширина 14.2 см., высота 4,5 см.";"Красный+Белый";"<h1>Очки</h1><br/>Унисекс<br/>ОО10003<br/>";""
"photo-13279251_308232092";"http://cs320118.vk.me/v320118826/6bb1/dO32GrqzyYU.jpg";"Очки<br/>Цена: 385 грн.<br/>Размеры: ширина 14.2 см., высота 4,5 см.<br/>Унисекс<br/>ОО10003<br/>Синий+Черный";"Очки";385;;" ширина 14.2 см., высота 4,5 см.";"Синий+Черный";"<h1>Очки</h1><br/>Унисекс<br/>ОО10003<br/>";""
"photo-13279251_308232094";"http://cs320118.vk.me/v320118826/6bb9/-UxOIqOUpOM.jpg";"Очки<br/>Цена: 385 грн.<br/>Размеры: ширина 14.2 см., высота 4,5 см.<br/>Унисекс<br/>ОО10003<br/>Желтый+Черный";"Очки";385;;" ширина 14.2 см., высота 4,5 см.";"Желтый+Черный";"<h1>Очки</h1><br/>Унисекс<br/>ОО10003<br/>";""
