"photo-13279251_300284290";"http://cs319131.vk.me/v319131826/892a/VGMd83rqHeA.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Красная+Серая";"Бейсболка Obey";250;"BH10001";" универсальный";"Красная+Серая";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_300284321";"http://cs319131.vk.me/v319131826/8952/xuF9X_4crKY.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Желтая+Черная";"Бейсболка Obey";250;"BH10001";" универсальный";"Желтая+Черная";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_308649736";"http://cs403730.vk.me/v403730826/9c81/KPMHmkCkJNw.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Камуфляж";"Бейсболка Obey";250;"BH10001";" универсальный";"Камуфляж";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_300284637";"http://cs319131.vk.me/v319131826/896a/aNQSuer6NXY.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Тигровая";"Бейсболка Obey";250;"BH10001";" универсальный";"Тигровая";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_300285489";"http://cs315116.vk.me/v315116826/6664/zSkwsfGlGOw.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Черная+Белая";"Бейсболка Obey";250;"BH10001";" универсальный";"Черная+Белая";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_300284620";"http://cs319131.vk.me/v319131826/895a/aAp4wf6JcqQ.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Красная+Тигровая";"Бейсболка Obey";250;"BH10001";" универсальный";"Красная+Тигровая";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_302943578";"http://cs306311.vk.me/v306311826/72d6/0mceAS3mLWM.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Красная+Тигровая";"Бейсболка Obey";250;"BH10001";" универсальный";"Красная+Тигровая";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_300284631";"http://cs319131.vk.me/v319131826/8962/QSPcQ10Fj9s.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Серая+Тигровая";"Бейсболка Obey";250;"BH10001";" универсальный";"Серая+Тигровая";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_300284643";"http://cs319131.vk.me/v319131826/8972/m-b3ebBS8A4.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Салатовая+Тигровая";"Бейсболка Obey";250;"BH10001";" универсальный";"Салатовая+Тигровая";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_300284650";"http://cs319131.vk.me/v319131826/897a/N1OppecTyIo.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Желтая+Тигровая";"Бейсболка Obey";250;"BH10001";" универсальный";"Желтая+Тигровая";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_302943580";"http://cs306311.vk.me/v306311826/72de/809rrwfYuBE.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Оранжевая+Тигровая";"Бейсболка Obey";250;"BH10001";" универсальный";"Оранжевая+Тигровая";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_308649737";"http://cs403730.vk.me/v403730826/9c89/Wb4Mj9iMmkY.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Цветная";"Бейсболка Obey";250;"BH10001";" универсальный";"Цветная";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_308649434";"http://cs403730.vk.me/v403730826/9c63/gQHlL-w1lAc.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10001<br/>Тигровая";"Бейсболка Obey";250;"BH10001";" универсальный";"Тигровая";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_300284086";"http://cs319131.vk.me/v319131826/88a4/yHB71RiBzvY.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10005<br/>Синяя";"Бейсболка Obey";250;"BH10005";" универсальный";"Синяя";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_300284114";"http://cs319131.vk.me/v319131826/88cc/1gALZmGzRlI.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10005<br/>Красная";"Бейсболка Obey";250;"BH10005";" универсальный";"Красная";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_302943581";"http://cs306311.vk.me/v306311826/72e6/B1T-k0qBIE4.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10006<br/>Черная";"Бейсболка Obey";250;"BH10006";" универсальный";"Черная";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
"photo-13279251_302943572";"http://cs306311.vk.me/v306311826/72c6/5g8MIusTTbQ.jpg";"Бейсболка Obey<br/>Цена: 250 грн.<br/>Материл: Холст<br/>Размер: универсальный<br/>BH10007<br/>Черная";"Бейсболка Obey";250;"BH10007";" универсальный";"Черная";"<h1>Бейсболка Obey</h1><br/><b>Материл:</b> Холст<br/>";""
