"photo-13279251_285153894";"http://cs403221.vk.me/v403221826/faa/xRM8NYiYFMg.jpg";"Пиджак мужской на одной пуговице<br/>Цена: 900 грн.<br/>Размеры: S, M, L, XL<br/>Материал: Хлопок<br/>MAN<br/>PG10001<br/>Бордовый";"Пиджак мужской на одной пуговице";900;"PG10001";" S, M, L, XL";"Бордовый";"<h1>Пиджак мужской на одной пуговице</h1><br/><b>Материал:</b> Хлопок<br/>MAN<br/>";""
"photo-13279251_278596966";"http://cs5940.vk.me/u17510826/153149508/x_d505039d.jpg";"Классический мужской пиджак на одну пуговицу<br/>Цена: 735 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок + полиэстр<br/>MAN<br/>PG10004<br/>Черный";"Классический мужской пиджак на одну пуговицу";735;"PG10004";" S, M, L, XL";"Черный";"<h1>Классический мужской пиджак на одну пуговицу</h1><br/><b>Материал:</b> хлопок + полиэстр<br/>MAN<br/>";""
"photo-13279251_278596969";"http://cs5940.vk.me/u17510826/153149508/x_1a64d441.jpg";"Классический мужской пиджак на одну пуговицу<br/>Цена: 735 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок + полиэстр<br/>MAN<br/>PG10004<br/>Черный";"Классический мужской пиджак на одну пуговицу";735;"PG10004";" S, M, L, XL";"Черный";"<h1>Классический мужской пиджак на одну пуговицу</h1><br/><b>Материал:</b> хлопок + полиэстр<br/>MAN<br/>";""
"photo-13279251_278596970";"http://cs5940.vk.me/u17510826/153149508/x_5a014335.jpg";"Классический мужской пиджак на одну пуговицу<br/>Цена: 735 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок + полиэстр<br/>MAN<br/>PG10004<br/>Черный";"Классический мужской пиджак на одну пуговицу";735;"PG10004";" S, M, L, XL";"Черный";"<h1>Классический мужской пиджак на одну пуговицу</h1><br/><b>Материал:</b> хлопок + полиэстр<br/>MAN<br/>";""
"photo-13279251_278596973";"http://cs5940.vk.me/u17510826/153149508/x_27872783.jpg";"Классический мужской пиджак на одну пуговицу<br/>Цена: 735 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок + полиэстр<br/>MAN<br/>PG10004<br/>Черный";"Классический мужской пиджак на одну пуговицу";735;"PG10004";" S, M, L, XL";"Черный";"<h1>Классический мужской пиджак на одну пуговицу</h1><br/><b>Материал:</b> хлопок + полиэстр<br/>MAN<br/>";""
"photo-13279251_278596976";"http://cs5940.vk.me/u17510826/153149508/x_b5a02e02.jpg";"Классический мужской пиджак на одну пуговицу<br/>Цена: 735 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок + полиэстр<br/>MAN<br/>PG10004<br/>Черный";"Классический мужской пиджак на одну пуговицу";735;"PG10004";" S, M, L, XL";"Черный";"<h1>Классический мужской пиджак на одну пуговицу</h1><br/><b>Материал:</b> хлопок + полиэстр<br/>MAN<br/>";""
"photo-13279251_278596978";"http://cs5940.vk.me/u17510826/153149508/x_fab36397.jpg";"Классический мужской пиджак на одну пуговицу<br/>Цена: 735 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок + полиэстр<br/>MAN<br/>PG10004<br/>Серый";"Классический мужской пиджак на одну пуговицу";735;"PG10004";" S, M, L, XL";"Серый";"<h1>Классический мужской пиджак на одну пуговицу</h1><br/><b>Материал:</b> хлопок + полиэстр<br/>MAN<br/>";""
"photo-13279251_278596980";"http://cs5940.vk.me/u17510826/153149508/x_dba2759a.jpg";"Классический мужской пиджак на одну пуговицу<br/>Цена: 735 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок + полиэстр<br/>MAN<br/>PG10004<br/>Серый";"Классический мужской пиджак на одну пуговицу";735;"PG10004";" S, M, L, XL";"Серый";"<h1>Классический мужской пиджак на одну пуговицу</h1><br/><b>Материал:</b> хлопок + полиэстр<br/>MAN<br/>";""
"photo-13279251_278598666";"http://cs5940.vk.me/u17510826/153149508/x_69d7041f.jpg";"Приталенный мужской пиджак на одну пуговицу<br/>Цена: 715 грн.<br/>Размеры: S, M, L<br/>Материал: хлопок + полиэстр<br/>MAN<br/>PG10005<br/>Черный";"Приталенный мужской пиджак на одну пуговицу";715;"PG10005";" S, M, L";"Черный";"<h1>Приталенный мужской пиджак на одну пуговицу</h1><br/><b>Материал:</b> хлопок + полиэстр<br/>MAN<br/>";""
"photo-13279251_278598668";"http://cs5940.vk.me/u17510826/153149508/x_660012ce.jpg";"Приталенный мужской пиджак на одну пуговицу<br/>Цена: 715 грн.<br/>Размеры: S, M, L<br/>Материал: хлопок + полиэстр<br/>MAN<br/>PG10005<br/>Черный";"Приталенный мужской пиджак на одну пуговицу";715;"PG10005";" S, M, L";"Черный";"<h1>Приталенный мужской пиджак на одну пуговицу</h1><br/><b>Материал:</b> хлопок + полиэстр<br/>MAN<br/>";""
