"photo-13279251_289112682";"http://cs407722.vk.me/v407722826/3168/unkKudTo6cI.jpg";"Галстук тонкий<br/>Цена: 99 грн.<br/>Материал: атлас<br/>Фасон тонкий<br/>Длина: 138-142см<br/>Унисекс<br/>GH30001<br/>Салатовый";"Галстук тонкий";99;"GH30001";;"Салатовый";"<h1>Галстук тонкий</h1><br/><b>Материал:</b> атлас<br/>Фасон тонкий<br/><b>Длина:</b> 138-142см<br/>Унисекс<br/>";""
"photo-13279251_289112686";"http://cs407722.vk.me/v407722826/3178/E1_b5rx1xec.jpg";"Галстук тонкий<br/>Цена: 99 грн.<br/>Материал: атлас<br/>Фасон тонкий<br/>Длина: 138-142см<br/>Унисекс<br/>GH30001<br/>Оранжевый";"Галстук тонкий";99;"GH30001";;"Оранжевый";"<h1>Галстук тонкий</h1><br/><b>Материал:</b> атлас<br/>Фасон тонкий<br/><b>Длина:</b> 138-142см<br/>Унисекс<br/>";""
"photo-13279251_289112674";"http://cs407722.vk.me/v407722826/3150/luGa7qgHO6M.jpg";"Галстук тонкий<br/>Цена: 99 грн.<br/>Материал: атлас<br/>Фасон тонкий<br/>Длина: 138-142см<br/>Унисекс<br/>GH30001<br/>Золотой";"Галстук тонкий";99;"GH30001";;"Золотой";"<h1>Галстук тонкий</h1><br/><b>Материал:</b> атлас<br/>Фасон тонкий<br/><b>Длина:</b> 138-142см<br/>Унисекс<br/>";""
"photo-13279251_289112692";"http://cs407722.vk.me/v407722826/3180/Ty7R_Rhk5-k.jpg";"Галстук тонкий<br/>Цена: 99 грн.<br/>Материал: атлас<br/>Фасон тонкий<br/>Длина: 138-142см<br/>Унисекс<br/>GH30001<br/>Желтый";"Галстук тонкий";99;"GH30001";;"Желтый";"<h1>Галстук тонкий</h1><br/><b>Материал:</b> атлас<br/>Фасон тонкий<br/><b>Длина:</b> 138-142см<br/>Унисекс<br/>";""
"photo-13279251_289112727";"http://cs407722.vk.me/v407722826/31c0/jpXvoAxCRII.jpg";"Галстук тонкий<br/>Цена: 99 грн.<br/>Материал: атлас<br/>Фасон тонкий<br/>Длина: 138-142см<br/>Унисекс<br/>GH30001<br/>Черный+Белый";"Галстук тонкий";99;"GH30001";;"Черный+Белый";"<h1>Галстук тонкий</h1><br/><b>Материал:</b> атлас<br/>Фасон тонкий<br/><b>Длина:</b> 138-142см<br/>Унисекс<br/>";""
"photo-13279251_289112731";"http://cs407722.vk.me/v407722826/31c8/uG_NGurofMc.jpg";"Галстук тонкий<br/>Цена: 99 грн.<br/>Материал: атлас<br/>Фасон тонкий<br/>Длина: 138-142см<br/>Унисекс<br/>GH30001<br/>Белый+Черный";"Галстук тонкий";99;"GH30001";;"Белый+Черный";"<h1>Галстук тонкий</h1><br/><b>Материал:</b> атлас<br/>Фасон тонкий<br/><b>Длина:</b> 138-142см<br/>Унисекс<br/>";""
"photo-13279251_292236660";"http://cs417925.vk.me/v417925826/100b/ka1XW3LEhcc.jpg";"Галстук тонкий прямой<br/>Цена: 110 грн.<br/>Материал: атлас<br/>Фасон тонкий (3 см.)<br/>Длина: 138-142см<br/>Унисекс<br/>GH30002<br/>Черный";"Галстук тонкий прямой";110;"GH30002";;"Черный";"<h1>Галстук тонкий прямой</h1><br/><b>Материал:</b> атлас<br/>Фасон тонкий (3 см.)<br/><b>Длина:</b> 138-142см<br/>Унисекс<br/>";""
"photo-13279251_292236662";"http://cs417925.vk.me/v417925826/1012/VelAJEPZB90.jpg";"Галстук тонкий прямой<br/>Цена: 110 грн.<br/>Материал: атлас<br/>Фасон тонкий (3 см.)<br/>Длина: 138-142см<br/>Унисекс<br/>GH30002<br/>Черный+Черный";"Галстук тонкий прямой";110;"GH30002";;"Черный+Черный";"<h1>Галстук тонкий прямой</h1><br/><b>Материал:</b> атлас<br/>Фасон тонкий (3 см.)<br/><b>Длина:</b> 138-142см<br/>Унисекс<br/>";""
"photo-13279251_292236665";"http://cs417925.vk.me/v417925826/1019/3RjuZx7ftB4.jpg";"Галстук тонкий прямой<br/>Цена: 110 грн.<br/>Материал: атлас<br/>Фасон тонкий (3 см.)<br/>Длина: 138-142см<br/>Унисекс<br/>GH30002<br/>Полностью черный";"Галстук тонкий прямой";110;"GH30002";;"Полностью черный";"<h1>Галстук тонкий прямой</h1><br/><b>Материал:</b> атлас<br/>Фасон тонкий (3 см.)<br/><b>Длина:</b> 138-142см<br/>Унисекс<br/>";""
"photo-13279251_289293889";"http://cs407723.vk.me/v407723826/3377/M7rUW1y2wZs.jpg";"Шляпа классическая<br/>Цена: 220грн<br/>Материал: лен<br/>Унисекс<br/>GH30003<br/>Черный";"Шляпа классическая";220;"GH30003";;"Черный";"<h1>Шляпа классическая</h1><br/><b>Материал:</b> лен<br/>Унисекс<br/>";""
