"photo-13279251_287238565";"http://cs323421.vk.me/v323421826/633/u_ms31_GISo.jpg";"Мужская футболка с большим вырезом<br/>Цена: 365 грн.<br/>Размеры: S/165, M/170, L/175, XL/180, XXL/185<br/>Материал: 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>FM10000<br/>Фиолетовый";"Мужская футболка с большим вырезом";365;"FM10000";" S/165, M/170, L/175, XL/180, XXL/185";"Фиолетовый";"<h1>Мужская футболка с большим вырезом</h1><br/><b>Материал:</b> 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>";""
"photo-13279251_287238572";"http://cs323421.vk.me/v323421826/63c/RCdUOa6Dn-k.jpg";"Мужская футболка с большим вырезом<br/>Цена: 365 грн.<br/>Размеры: S/165, M/170, L/175, XL/180, XXL/185<br/>Материал: 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>FM10000<br/>Голубой";"Мужская футболка с большим вырезом";365;"FM10000";" S/165, M/170, L/175, XL/180, XXL/185";"Голубой";"<h1>Мужская футболка с большим вырезом</h1><br/><b>Материал:</b> 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>";""
"photo-13279251_287238576";"http://cs323421.vk.me/v323421826/645/bIhyAKhmkAQ.jpg";"Мужская футболка с большим вырезом<br/>Цена: 365 грн.<br/>Размеры: S/165, M/170, L/175, XL/180, XXL/185<br/>Материал: 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>FM10000<br/>Коричневый";"Мужская футболка с большим вырезом";365;"FM10000";" S/165, M/170, L/175, XL/180, XXL/185";"Коричневый";"<h1>Мужская футболка с большим вырезом</h1><br/><b>Материал:</b> 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>";""
"photo-13279251_287238585";"http://cs323421.vk.me/v323421826/64e/0i9xQBJjB34.jpg";"Мужская футболка с большим вырезом<br/>Цена: 365 грн.<br/>Размеры: S/165, M/170, L/175, XL/180, XXL/185<br/>Материал: 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>FM10000<br/>Черный";"Мужская футболка с большим вырезом";365;"FM10000";" S/165, M/170, L/175, XL/180, XXL/185";"Черный";"<h1>Мужская футболка с большим вырезом</h1><br/><b>Материал:</b> 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>";""
"photo-13279251_287238600";"http://cs323421.vk.me/v323421826/657/syfzu0F3C6w.jpg";"Мужская футболка с большим вырезом<br/>Цена: 365 грн.<br/>Размеры: S/165, M/170, L/175, XL/180, XXL/185<br/>Материал: 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>FM10000<br/>Бордовый";"Мужская футболка с большим вырезом";365;"FM10000";" S/165, M/170, L/175, XL/180, XXL/185";"Бордовый";"<h1>Мужская футболка с большим вырезом</h1><br/><b>Материал:</b> 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>";""
"photo-13279251_287238613";"http://cs323421.vk.me/v323421826/660/Kh_vc9-e8E8.jpg";"Мужская футболка с большим вырезом<br/>Цена: 365 грн.<br/>Размеры: S/165, M/170, L/175, XL/180, XXL/185<br/>Материал: 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>FM10000<br/>Белый";"Мужская футболка с большим вырезом";365;"FM10000";" S/165, M/170, L/175, XL/180, XXL/185";"Белый";"<h1>Мужская футболка с большим вырезом</h1><br/><b>Материал:</b> 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>";""
"photo-13279251_287238624";"http://cs323421.vk.me/v323421826/669/A9HfsSD7_qA.jpg";"Мужская футболка с большим вырезом<br/>Цена: 365 грн.<br/>Размеры: S/165, M/170, L/175, XL/180, XXL/185<br/>Материал: 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>FM10000<br/>Серый";"Мужская футболка с большим вырезом";365;"FM10000";" S/165, M/170, L/175, XL/180, XXL/185";"Серый";"<h1>Мужская футболка с большим вырезом</h1><br/><b>Материал:</b> 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>";""
"photo-13279251_287238632";"http://cs323421.vk.me/v323421826/672/vVLvgyx7mG8.jpg";"Мужская футболка с большим вырезом<br/>Цена: 365 грн.<br/>Размеры: S/165, M/170, L/175, XL/180, XXL/185<br/>Материал: 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>FM10000<br/>Темно серый";"Мужская футболка с большим вырезом";365;"FM10000";" S/165, M/170, L/175, XL/180, XXL/185";"Темно серый";"<h1>Мужская футболка с большим вырезом</h1><br/><b>Материал:</b> 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>";""
"photo-13279251_287238641";"http://cs323421.vk.me/v323421826/67b/U4Hj9PRG-kY.jpg";"Мужская футболка с большим вырезом<br/>Цена: 365 грн.<br/>Размеры: S/165, M/170, L/175, XL/180, XXL/185<br/>Материал: 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>FM10000<br/>Светло серый";"Мужская футболка с большим вырезом";365;"FM10000";" S/165, M/170, L/175, XL/180, XXL/185";"Светло серый";"<h1>Мужская футболка с большим вырезом</h1><br/><b>Материал:</b> 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>";""
"photo-13279251_287238647";"http://cs323421.vk.me/v323421826/684/drLbsBBKVTQ.jpg";"Мужская футболка с большим вырезом<br/>Цена: 365 грн.<br/>Размеры: S/165, M/170, L/175, XL/180, XXL/185<br/>Материал: 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>FM10000<br/>Зеленый";"Мужская футболка с большим вырезом";365;"FM10000";" S/165, M/170, L/175, XL/180, XXL/185";"Зеленый";"<h1>Мужская футболка с большим вырезом</h1><br/><b>Материал:</b> 90% хлопок, 10% эластан (лайкра)<br/>MAN<br/>";""
