"photo-13279251_355922533";"http://cs540103.vk.me/c540101/v540101826/47f97/ZaRqmDvXR3g.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Серый+Синий";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Серый+Синий";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355922476";"http://cs540103.vk.me/c540101/v540101826/47f57/eWETBn5fuPM.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Серый+Синий";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Серый+Синий";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355922469";"http://cs540103.vk.me/c540101/v540101826/47f3f/Eh48pn_DjWc.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Серый+Синий";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Серый+Синий";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355922511";"http://cs540103.vk.me/c540101/v540101826/47f7f/n9ODErz4orE.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Серый+Оранжевый";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Серый+Оранжевый";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355922503";"http://cs540103.vk.me/c540101/v540101826/47f77/9h1gXrPMYRI.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Серый+Оранжевый";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Серый+Оранжевый";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355922528";"http://cs540103.vk.me/c540101/v540101826/47f8f/mU3hF_eA1j8.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Серый+Оранжевый";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Серый+Оранжевый";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077786";"http://cs407321.vk.me/v407321826/71aa/GsMXykfr2dA.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Зеленый";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Зеленый";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355922484";"http://cs540103.vk.me/c540101/v540101826/47f67/6ivLsOBSfiw.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Зеленый";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Зеленый";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355922495";"http://cs540103.vk.me/c540101/v540101826/47f6f/QMajCD8D_iw.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Зеленый";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Зеленый";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077933";"http://cs407321.vk.me/v407321826/71d2/BP3l-m9e_gY.jpg";"Reebok Easytone<br/>Цена: 1200 грн.<br/>Размеры: 36-40<br/>Материал: кожа, текстиль<br/>Подошва: резина, пена<br/>Сезон: весна, лето, осень<br/>RP10003<br/>Черный+Фиолетовый";"Reebok Easytone";1200;"RP10003";" 36-40";"Черный+Фиолетовый";"<h1>Reebok Easytone</h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина, пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
