"photo-13279251_287122097";"http://cs407721.vk.me/v407721826/2a14/JhvWcRlBUK0.jpg";"Supra TK<br/>Цена: 1020 грн.<br/>Размеры: 36 - 47<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30001<br/>Серебренный";"Supra TK";1020;"NB30001";" 36 - 47";"Серебренный";"<h1>Supra TK</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_287122080";"http://cs407721.vk.me/v407721826/29e4/gYj2pTagkDQ.jpg";"Supra TK<br/>Цена: 1020 грн.<br/>Размеры: 36 - 47<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30001<br/>Серый";"Supra TK";1020;"NB30001";" 36 - 47";"Серый";"<h1>Supra TK</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_287122136";"http://cs407721.vk.me/v407721826/2a64/ss40_REs724.jpg";"Supra TK<br/>Цена: 1020 грн.<br/>Размеры: 40 - 47<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30001<br/>Черный+Бордовый";"Supra TK";1020;"NB30001";" 40 - 47";"Черный+Бордовый";"<h1>Supra TK</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_287122094";"http://cs407721.vk.me/v407721826/2a0c/2Pzywsj4bCE.jpg";"Supra TK<br/>Цена: 1020 грн.<br/>Размеры: 36 - 47<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30001<br/>Бордовый";"Supra TK";1020;"NB30001";" 36 - 47";"Бордовый";"<h1>Supra TK</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_287122066";"http://cs407721.vk.me/v407721826/29b4/PIFkIZh1mkw.jpg";"Supra TK<br/>Цена: 1020 грн.<br/>Размеры: 36 - 47<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30001<br/>Красный";"Supra TK";1020;"NB30001";" 36 - 47";"Красный";"<h1>Supra TK</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_287122071";"http://cs407721.vk.me/v407721826/29c4/MBmi2B2wKu8.jpg";"Supra TK<br/>Цена: 1020 грн.<br/>Размеры: 36 - 40<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30001<br/>Розовый";"Supra TK";1020;"NB30001";" 36 - 40";"Розовый";"<h1>Supra TK</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_287122074";"http://cs407721.vk.me/v407721826/29cc/es61Icm2o7c.jpg";"Supra TK<br/>Цена: 1020 грн.<br/>Размеры: 36 - 40<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30001<br/>Черный+Розовый";"Supra TK";1020;"NB30001";" 36 - 40";"Черный+Розовый";"<h1>Supra TK</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_287122078";"http://cs407721.vk.me/v407721826/29dc/1XyiaVbJ7Dw.jpg";"Supra TK<br/>Цена: 1020 грн.<br/>Размеры: 36 - 47<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30001<br/>Фиолетовый";"Supra TK";1020;"NB30001";" 36 - 47";"Фиолетовый";"<h1>Supra TK</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_287122083";"http://cs407721.vk.me/v407721826/29ec/gt-lEBvI8qw.jpg";"Supra TK<br/>Цена: 1020 грн.<br/>Размеры: 36 - 47<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30001<br/>Бирюзовый";"Supra TK";1020;"NB30001";" 36 - 47";"Бирюзовый";"<h1>Supra TK</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_287122113";"http://cs407721.vk.me/v407721826/2a3c/iBZA01PDUa0.jpg";"Supra TK<br/>Цена: 1020 грн.<br/>Размеры: 40 - 47<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30001<br/>Черный+Синий";"Supra TK";1020;"NB30001";" 40 - 47";"Черный+Синий";"<h1>Supra TK</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_322725660";"http://cs409031.vk.me/v409031826/92fc/YtAnwC1q2zk.jpg";"Supra Vaider<br/>Цена: 1060 грн.<br/>Размеры: 40-45<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30003<br/>Темно серый";"Supra Vaider";1060;"NB30003";" 40-45";"Темно серый";"<h1>Supra Vaider</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_322725652";"http://cs409031.vk.me/v409031826/92eb/4KJvdtcdf7k.jpg";"Supra Vaider<br/>Цена: 1060 грн.<br/>Размеры: 40-45<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30003<br/>Черный+Красный";"Supra Vaider";1060;"NB30003";" 40-45";"Черный+Красный";"<h1>Supra Vaider</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_322725640";"http://cs409031.vk.me/v409031826/92da/L6A8xr5fh4o.jpg";"Supra Vaider<br/>Цена: 1060 грн.<br/>Размеры: 40-45<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30003<br/>Черный";"Supra Vaider";1060;"NB30003";" 40-45";"Черный";"<h1>Supra Vaider</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_322725676";"http://cs409031.vk.me/v409031826/931c/lL9disZJ3MQ.jpg";"Supra Vaider<br/>Цена: 1060 грн.<br/>Размеры: 40-45<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30003<br/>Черный+Синий";"Supra Vaider";1060;"NB30003";" 40-45";"Черный+Синий";"<h1>Supra Vaider</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_322725668";"http://cs409031.vk.me/v409031826/930c/kL0vptz6yvw.jpg";"Supra Vaider<br/>Цена: 1060 грн.<br/>Размеры: 40-45<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30003<br/>Черный+Серый";"Supra Vaider";1060;"NB30003";" 40-45";"Черный+Серый";"<h1>Supra Vaider</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_322725645";"http://cs409031.vk.me/v409031826/92e3/IPyB92EmQQ0.jpg";"Supra Vaider<br/>Цена: 1060 грн.<br/>Размеры: 40-45<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30003<br/>Серый+Черный";"Supra Vaider";1060;"NB30003";" 40-45";"Серый+Черный";"<h1>Supra Vaider</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_322725682";"http://cs409031.vk.me/v409031826/9325/R_jSTcbMSkM.jpg";"Supra Vaider<br/>Цена: 1060 грн.<br/>Размеры: 40-45<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30003<br/>Черный+Желтый";"Supra Vaider";1060;"NB30003";" 40-45";"Черный+Желтый";"<h1>Supra Vaider</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_322725658";"http://cs409031.vk.me/v409031826/92f3/EquEz6KQINU.jpg";"Supra Vaider<br/>Цена: 1060 грн.<br/>Размеры: 40-45<br/>Материал: PU/искусственная замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>NB30003<br/>Черный+Белый";"Supra Vaider";1060;"NB30003";" 40-45";"Черный+Белый";"<h1>Supra Vaider</h1><br/><b>Материал:</b> PU/искусственная замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
