"PW10001";"Черный";"Женская короткая куртка ";" S M L XL";680;"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";"PW10001_1.jpg|PW10001_2.jpg|PW10001_3.jpg|PW10001_4.jpg";"";"album-13279251_178515453-raw.csv"
"PW10001";"Красный";"Женская короткая куртка ";" S M L XL";680;"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";"PW10001_5.jpg|PW10001_6.jpg";"";"album-13279251_178515453-raw.csv"
"PW10001";"Розовый";"Женская короткая куртка ";" S M L XL";680;"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";"PW10001_7.jpg|PW10001_8.jpg|PW10001_9.jpg";"";"album-13279251_178515453-raw.csv"
